ID	LD00	LD04	LD08	LD12	LD16	LD20	LD24	LD28	LD32	LD36	LD40	LD44	LD48	LD52	LD56	LD60	LD64	LD68
244901_at	11.6	10.9	14.3	13.4	19.3	15.1	13.9	13.1	9.7	6.1	10.5	7.9	16.2	20.4	16.7	6.2	16.7	13.2
244902_at	7.4	12.9	4.1	7.7	17.3	9.5	12.4	6.3	9.8	8.4	9	7.6	17.5	15.5	7.8	2	17.6	15.7
244903_at	56	71.6	50.5	99.2	109.9	65.5	61.2	32.9	31.2	32.4	33.9	34.2	71.4	63.1	82.4	78.8	118.2	117.5
244904_at	4.9	1.8	3.6	2.6	1.5	1.8	2.8	1.4	2.2	2.3	9	3.1	27.7	38.9	33.6	24.7	23	28.3
244905_at	4.4	6.7	18.2	8.9	12.1	2.8	1.9	4.7	3.8	7.3	2.1	1.5	3.2	7.9	21.5	12.5	15.6	3.6
244906_at	37.7	34.6	38.2	34	34.4	39.5	40.9	6.4	29.1	24.7	23.7	42.5	30.8	16.8	25.7	47.3	46.2	34.8
244907_at	0.3	1	0.5	0.4	0.4	0.4	0.6	0.8	0.6	0.3	0.7	0.2	0.8	1	3	1.5	0.5	7.3
244908_at	0.6	0.7	0.7	0.6	0.5	0.5	0.4	0.5	0.4	0.5	0.5	0.3	0.8	0.9	0.9	0.8	1.5	0.8
244909_at	1.6	0.7	1.4	3.9	1.5	0.6	1.9	1.1	1.2	1	1.9	1.2	4.1	13.3	20.4	1.1	17.1	23
244910_s_at	5.6	8.7	16.8	4.5	9.6	6.5	3.4	8.8	5.1	5.9	6.9	4.3	11.2	18.5	19	18.2	22.5	9.3
244911_at	0.5	0.7	0.6	0.4	0.7	3.1	0.4	0.7	0.6	2.5	1	1.4	1	2.3	4.6	1.1	0.6	2
244912_at	126.6	93.1	72.2	80.3	87.9	86.4	157.7	121.6	124.7	141.2	142.7	156.5	224.4	191.3	103.8	171.8	151.4	162.2
244913_at	2.2	2.3	2.5	1.2	1.1	2.1	1.6	2.1	1.6	1.8	6.6	1	3.8	3	23.6	2.8	40.4	5.4
244914_at	0.2	0.4	0.5	0.3	0.2	0.3	0.4	0.5	0.2	0.5	0.4	0.9	0.6	0.9	0.7	1.6	2.6	0.6
244915_s_at	0.9	2.6	2.8	0.8	1	0.8	1	1.6	1.6	0.8	2	1	1.4	3	4.5	12	12.7	3.3
244916_at	3.7	9.8	14.6	8.4	0.6	1.4	1.2	1.6	1	1.5	1.5	0.6	0.8	1.3	2.1	0.6	1.7	1
244917_at	0.4	0.6	0.5	0.7	0.5	0.8	0.5	1	0.5	0.5	0.6	0.3	0.7	1.1	1.8	0.8	2.3	2.3
244918_at	0.9	2.3	5.3	0.7	1.3	0.9	2.8	1.1	1.3	1.7	1	0.9	12.6	17.5	10.5	1.6	8.3	2.5
244919_at	1	3.3	7.9	6.2	2.3	1.6	3.5	1.1	3.2	1.3	5.9	0.6	2.3	11.8	3.4	3.2	15.6	10.7
244920_s_at	110.4	63.6	47.3	84.3	77.6	85.5	81.1	81	66.1	81.4	79.9	62.3	88	90.6	76.7	58.3	89.5	122.5
244921_s_at	59.5	26.5	21.9	26.9	33.9	43	32.4	55.7	38	29.2	30.8	32.9	30.4	39.7	30.8	28.7	44.8	65.9
244922_s_at	17.4	11.9	1.8	7.6	7.3	15.2	15.5	11.9	8.3	12.2	9.7	15.5	26.2	23.7	6.7	13	9.3	12.4
244923_s_at	5.6	3	1.6	2.5	1.9	4.3	7.4	11.5	3.1	12.4	2.3	8	4.4	3.4	2.8	2.9	10.5	1.9
244924_at	2.6	19.2	5.2	13.6	2.7	9.3	12.8	1.7	2	14	5.9	6.9	39.6	30.4	36.1	30.3	49	51.3
244925_at	3.1	3.8	7.3	1.2	4.3	1.5	6.2	5.2	1.2	1.9	1.3	3.3	4.5	4.1	2.5	4.8	4	10.6
244926_s_at	0.6	0.5	0.4	0.4	0.6	0.8	0.5	1	0.5	0.5	0.8	0.4	0.7	1.1	0.8	0.6	0.8	0.9
