Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT02	ZT04	ZT06	ZT08	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22	ZT24	ZT26	ZT28	ZT30	ZT32	ZT34	ZT36	ZT38	ZT40	ZT42	ZT44	ZT46
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	1423447_at	11.7168495	11.56027486	11.4698484	11.08822313	9.53184307	9.372562194	9.275715734	9.648660719	10.34754149	10.80734986	11.22302095	11.41922867	11.52795086	11.46745422	10.99683432	10.81699268	9.348353068	9.237815034	9.428274543	9.704470363	10.17832295	10.50662533	11.40085143	11.29100516
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	1451548_at	9.556878949	9.400081472	9.877137391	11.22256053	12.23930763	11.98878212	12.32483667	11.34706843	11.10443551	10.59193677	9.628289068	9.971726325	9.196217144	9.680997906	11.04067858	11.34995472	12.34323699	12.33794565	12.01062711	11.45153715	10.69885038	10.31353689	10.51656919	10.04596245
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	1419093_at	13.50215776	13.62410797	13.6685231	13.87127938	13.86699995	13.8643476	13.90303526	13.68470663	13.5915546	13.62770785	13.59972002	13.60541105	13.77928838	13.87490459	13.89417621	13.91212452	13.89284683	13.87988058	13.80374266	13.72709599	13.64117229	13.80026962	13.75051446	13.35099596
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058;Q8C0L9-3;A2AMD6;A2AMD7;D6RHB5;D6RGT7;D6RHS8	1429144_at	8.749064759	9.450512512	9.827173643	10.43264984	10.94582276	11.24356067	10.2860871	9.952585133	9.536092055	8.965710874	8.80533002	8.92239738	9.346387087	9.380104869	10.90608564	10.08690102	11.45743016	11.38371948	9.441637518	9.5968838	9.079517397	8.385729349	9.1668298	8.484814901
Carboxylesterase 1C	Ces1c	P23953;F6XTA4	1416913_at	13.54967424	13.46846392	13.57475455	13.59981292	13.63003814	13.61640144	13.72546692	13.55663081	13.59700486	13.53424784	13.78665324	13.66195127	13.48472493	13.62422648	13.54918457	13.68740152	13.67569682	13.62922874	13.6575927	13.51474605	13.54605349	13.6009112	13.52048648	13.47740493
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3;Q9JKX3-2	1425381_a_at	12.11176756	12.00077373	11.95939802	11.88406864	11.96793955	11.88606474	12.00760728	11.78369225	12.03497833	11.97137877	12.009675	12.13732049	12.08965643	11.99407427	11.96622171	12.06504523	12.01298853	12.03891088	11.72293123	11.67366693	11.83480968	11.92126816	11.97845586	11.84666218
	Irf2bp2	E9Q1P8	1433634_at	10.28447135	10.34057721	10.36816375	9.22682936	9.221404075	9.375778339	9.50951709	9.724059206	9.605570741	9.033373849	10.1949865	8.863241867	10.58381098	10.35397282	8.903709861	9.48974809	9.092303068	8.830058129	9.179289328	9.160083083	10.17102734	9.547711436	10.69249063	9.601486746
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	1439617_s_at	9.612415269	10.97231598	9.776659413	10.21852154	11.14921765	11.24849488	10.18457322	11.07797573	10.11213138	9.91678606	7.351099097	9.397249197	9.706496012	9.836504634	9.422658646	10.08884424	10.95187528	11.26460584	11.20235894	10.33920895	9.143680843	8.240032467	10.27356021	7.817298734
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	1433768_at	9.686106472	9.613589897	8.892700406	8.958876767	8.869901212	8.728938348	8.893214376	9.794021563	9.718318916	9.69132854	9.939768541	9.206191603	9.456811233	9.201412989	8.851107968	9.024514806	8.748008616	8.585773508	9.205956677	9.794678938	9.160941003	9.484060498	9.482839816	9.470095651
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	1449321_x_at	12.84203574	12.80985872	12.72474904	12.83303731	12.57589497	12.64087504	12.4776548	12.57086058	12.40451352	12.7198459	12.86064774	12.67819532	12.80089816	13.06774032	12.95328797	12.73994348	12.79644891	12.55756661	12.68486796	12.91776655	12.50913255	12.9458362	13.09693418	12.90356943
